alt_brand,alt_generic,alt_manu,year,total_claims_16,total_claims_17
celecoxib,celecoxib,trigen laborato,2016,135076,135646
cephalexin,cephalexin,ahp,2015,NA,19
cephalexin,cephalexin,ahp,2016,NA,2210
cephalexin,cephalexin,ascend laborato,2013,77012,74844
cephalexin,cephalexin,ascend laborato,2014,72105,71709
cephalexin,cephalexin,ascend laborato,2015,96151,95750
cephalexin,cephalexin,ascend laborato,2016,84665,84503
cephalexin,cephalexin,bi-coastal phar,2016,NA,105
cephalexin,cephalexin,carlsbad tech,2013,60847,59838
cephalexin,cephalexin,carlsbad tech,2014,8486,8288
cephalexin,cephalexin,carlsbad tech,2015,5463,5344
cephalexin,cephalexin,carlsbad tech,2016,3895,3808
cephalexin,cephalexin,"orchidpharma, i",2013,169003,169091
cephalexin,cephalexin,"orchidpharma, i",2014,16942,16947
cephalexin,cephalexin,"orchidpharma, i",2015,14292,14322
cephalexin,cephalexin,"orchidpharma, i",2016,199511,199631
keflex,cephalexin,shionogi pharma,2013,290,NA
keflex,cephalexin,shionogi pharma,2014,718,NA
keflex,cephalexin,shionogi pharma,2015,607,NA
keflex,cephalexin,shionogi pharma,2016,266,NA
cephalexin,cephalexin,"west-ward, inc.",2013,220566,195708
cephalexin,cephalexin,"west-ward, inc.",2014,72065,62694
cephalexin,cephalexin,"west-ward, inc.",2015,16677,15110
cephalexin,cephalexin,"west-ward, inc.",2016,7956,7785
cetirizine hcl,cetirizine hcl,qualitest/par p,2013,2046,NA
cetirizine hcl,cetirizine hcl,qualitest/par p,2014,639,NA
cetirizine hcl,cetirizine hcl,qualitest/par p,2015,501,NA
cetirizine hcl,cetirizine hcl,qualitest/par p,2016,266,NA
chenodal,chenodiol,"retrophin, inc.",2016,NA,309
leukeran,chlorambucil,aspen/prasco la,2016,11141,12654
chlordiazepoxide hcl,chlordiazepoxide hcl,mylan instituti,2013,567,485
chlordiazepoxide hcl,chlordiazepoxide hcl,mylan instituti,2014,290,222
chlordiazepoxide hcl,chlordiazepoxide hcl,mylan instituti,2015,301,225
chlordiazepoxide hcl,chlordiazepoxide hcl,mylan instituti,2016,318,232
chlordiazepoxide-clidinium,chlordiazepoxide/clidinium br,oceanside pharm,2016,NA,7883
librax,chlordiazepoxide/clidinium br,valeant,2016,NA,452
chlorothiazide,chlorothiazide,"west-ward, inc.",2013,1276,NA
chlorothiazide,chlorothiazide,"west-ward, inc.",2014,676,NA
chlorothiazide,chlorothiazide,"west-ward, inc.",2015,268,NA
chlorothiazide,chlorothiazide,"west-ward, inc.",2016,74,NA
chlorpromazine hcl,chlorpromazine hcl,"west-ward, inc.",2013,5345,5263
chlorpromazine hcl,chlorpromazine hcl,"west-ward, inc.",2014,4220,4165
chlorpromazine hcl,chlorpromazine hcl,"west-ward, inc.",2015,2806,2719
chlorpromazine hcl,chlorpromazine hcl,"west-ward, inc.",2016,3586,3531
chlorthalidone,chlorthalidone,sun pharmaceuti,2016,NA,115336
prevalite,cholestyramine/aspartame,upsher smith la,2013,82600,82630
prevalite,cholestyramine/aspartame,upsher smith la,2014,72646,72681
prevalite,cholestyramine/aspartame,upsher smith la,2015,75183,75196
prevalite,cholestyramine/aspartame,upsher smith la,2016,79299,79360
omnaris,ciclesonide,sunovion pharma,2013,20318,NA
omnaris,ciclesonide,sunovion pharma,2014,18582,NA
omnaris,ciclesonide,sunovion pharma,2015,14316,NA
omnaris,ciclesonide,sunovion pharma,2016,9080,NA
zetonna,ciclesonide,sunovion pharma,2013,12769,NA
zetonna,ciclesonide,sunovion pharma,2014,12492,NA
zetonna,ciclesonide,sunovion pharma,2015,8236,NA
zetonna,ciclesonide,sunovion pharma,2016,4652,NA
omnaris,ciclesonide,sunovion/covis,2013,NA,20318
omnaris,ciclesonide,sunovion/covis,2014,NA,18582
omnaris,ciclesonide,sunovion/covis,2015,NA,14316
omnaris,ciclesonide,sunovion/covis,2016,NA,9080
zetonna,ciclesonide,sunovion/covis,2013,NA,12769
zetonna,ciclesonide,sunovion/covis,2014,NA,12492
zetonna,ciclesonide,sunovion/covis,2015,NA,8236
zetonna,ciclesonide,sunovion/covis,2016,NA,4652
ciclopirox,ciclopirox,taro pharm usa,2016,744,19478
ciclodan,ciclopirox olamine,medimetriks pha,2013,129,NA
ciclodan,ciclopirox olamine,medimetriks pha,2014,98,NA
ciclodan,ciclopirox olamine,medimetriks pha,2015,87,NA
ciclodan,ciclopirox olamine,medimetriks pha,2016,67,NA
cnl 8,ciclopirox/nail lacquer removr,innocutis holdi,2013,131,NA
cnl 8,ciclopirox/nail lacquer removr,innocutis holdi,2014,138,NA
cnl 8,ciclopirox/nail lacquer removr,innocutis holdi,2015,111,NA
cnl 8,ciclopirox/nail lacquer removr,innocutis holdi,2016,83,NA
cilostazol,cilostazol,corepharma llc,2013,11780,NA
cilostazol,cilostazol,corepharma llc,2014,6147,NA
cilostazol,cilostazol,corepharma llc,2015,3838,NA
cilostazol,cilostazol,corepharma llc,2016,859,NA
pletal,cilostazol,otsuka america,2013,1444,NA
pletal,cilostazol,otsuka america,2014,1104,NA
pletal,cilostazol,otsuka america,2015,1014,NA
pletal,cilostazol,otsuka america,2016,237,NA
ciprofloxacin hcl,ciprofloxacin hcl,apotex corp,2013,9982,6784
ciprofloxacin hcl,ciprofloxacin hcl,apotex corp,2014,4805,3313
ciprofloxacin hcl,ciprofloxacin hcl,apotex corp,2015,1589,1081
ciprofloxacin hcl,ciprofloxacin hcl,apotex corp,2016,511,296
ciprofloxacin hcl,ciprofloxacin hcl,bausch & lomb p,2013,46,NA
ciprofloxacin hcl,ciprofloxacin hcl,bausch & lomb p,2014,84,NA
ciprofloxacin hcl,ciprofloxacin hcl,bausch & lomb p,2015,60,NA
ciprofloxacin hcl,ciprofloxacin hcl,bausch & lomb p,2016,52,NA
ciprofloxacin hcl,ciprofloxacin hcl,major pharmaceu,2014,129,NA
ciprofloxacin hcl,ciprofloxacin hcl,major pharmaceu,2015,826,NA
ciprofloxacin hcl,ciprofloxacin hcl,major pharmaceu,2016,92,NA
ciprofloxacin hcl,ciprofloxacin hcl,mylan instituti,2013,3131,3242
ciprofloxacin hcl,ciprofloxacin hcl,mylan instituti,2014,4033,4177
ciprofloxacin hcl,ciprofloxacin hcl,mylan instituti,2015,4767,4970
ciprofloxacin hcl,ciprofloxacin hcl,mylan instituti,2016,2750,2849
ciprofloxacin hcl,ciprofloxacin hcl,puracap laborat,2013,3102,3092
ciprofloxacin hcl,ciprofloxacin hcl,puracap laborat,2014,17228,17189
ciprofloxacin hcl,ciprofloxacin hcl,puracap laborat,2015,63701,63610
ciprofloxacin hcl,ciprofloxacin hcl,puracap laborat,2016,57663,57590
otovel,ciprofloxacin hcl/fluocinolone,arbor pharmaceu,2016,NA,107
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,claris lifescie,2013,25,NA
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,claris lifescie,2014,84,NA
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,claris lifescie,2015,221,NA
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,claris lifescie,2016,602,NA
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,claris/baxter,2013,NA,25
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,claris/baxter,2014,NA,87
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,claris/baxter,2015,NA,228
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,claris/baxter,2016,NA,656
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,hospira,2013,2895,NA
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,hospira,2014,2503,NA
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,hospira,2015,2112,NA
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,hospira,2016,1727,NA
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,hospira/pfizer,2013,NA,2895
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,hospira/pfizer,2014,NA,2503
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,hospira/pfizer,2015,NA,2112
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,hospira/pfizer,2016,NA,1727
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,sandoz,2013,1722,1320
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,sandoz,2014,1847,1504
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,sandoz,2015,1481,1226
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,sandoz,2016,1174,934
citalopram hbr,citalopram hydrobromide,aurobindo pharm,2013,1083920,1083865
citalopram hbr,citalopram hydrobromide,aurobindo pharm,2014,1142989,1142818
citalopram hbr,citalopram hydrobromide,aurobindo pharm,2015,1374948,1374758
citalopram hbr,citalopram hydrobromide,aurobindo pharm,2016,1936071,1936245
citalopram hbr,citalopram hydrobromide,"cipla usa, inc.",2016,NA,193438
citalopram hbr,citalopram hydrobromide,exelan pharmace,2013,490,891
citalopram hbr,citalopram hydrobromide,exelan pharmace,2014,736,776
citalopram hbr,citalopram hydrobromide,exelan pharmace,2015,618,699
citalopram hbr,citalopram hydrobromide,exelan pharmace,2016,921,3173
citalopram hbr,citalopram hydrobromide,g & w labs.,2016,NA,223428
citalopram hbr,citalopram hydrobromide,"gsms, inc.",2013,NA,26
citalopram hbr,citalopram hydrobromide,"gsms, inc.",2016,NA,159
citalopram hbr,citalopram hydrobromide,international l,2016,791573,880587
citalopram hbr,citalopram hydrobromide,jubilant cadist,2016,NA,798
citalopram hbr,citalopram hydrobromide,legacy pharmace,2016,35595,36508
citalopram hbr,citalopram hydrobromide,puracap laborat,2013,31198,26218
citalopram hbr,citalopram hydrobromide,puracap laborat,2014,45022,39913
citalopram hbr,citalopram hydrobromide,puracap laborat,2015,24270,21075
citalopram hbr,citalopram hydrobromide,puracap laborat,2016,3970,3323
citalopram hbr,citalopram hydrobromide,teva usa,2013,467324,NA
citalopram hbr,citalopram hydrobromide,teva usa,2014,266114,NA
citalopram hbr,citalopram hydrobromide,teva usa,2015,11655,NA
citalopram hbr,citalopram hydrobromide,teva usa,2016,790,NA
renacidin,citric ac/gluconolact/mag carb,guardian chem.,2016,4723,8799
sodium citrate-citric acid,citric acid/sodium citrate,pharmaceutical,2013,NA,2741
sodium citrate-citric acid,citric acid/sodium citrate,pharmaceutical,2014,NA,2899
sodium citrate-citric acid,citric acid/sodium citrate,pharmaceutical,2015,NA,2750
sodium citrate-citric acid,citric acid/sodium citrate,pharmaceutical,2016,NA,2037
sodium citrate & citric acid,citric acid/sodium citrate,pharmaceutical,2013,2741,NA
sodium citrate & citric acid,citric acid/sodium citrate,pharmaceutical,2014,2899,NA
sodium citrate & citric acid,citric acid/sodium citrate,pharmaceutical,2015,2750,NA
sodium citrate & citric acid,citric acid/sodium citrate,pharmaceutical,2016,2037,NA
clarithromycin,clarithromycin,ahp,2014,73,NA
clarithromycin,clarithromycin,ahp,2015,55,NA
clarithromycin,clarithromycin,ahp,2016,104,NA
clarithromycin,clarithromycin,lannett co. inc,2016,NA,52481
clarithromycin er,clarithromycin,mayne pharma in,2016,NA,1221
clarithromycin,clarithromycin,teva usa,2013,106847,NA
clarithromycin,clarithromycin,teva usa,2014,78664,NA
clarithromycin,clarithromycin,teva usa,2015,56818,NA
clarithromycin,clarithromycin,teva usa,2016,3849,NA
clarithromycin,clarithromycin,wockhardt usa l,2013,39452,NA
clarithromycin,clarithromycin,wockhardt usa l,2014,9415,NA
clarithromycin,clarithromycin,wockhardt usa l,2015,977,NA
clarithromycin,clarithromycin,wockhardt usa l,2016,63,NA
clarithromycin,clarithromycin,zydus pharmaceu,2013,143963,142942
clarithromycin,clarithromycin,zydus pharmaceu,2014,181779,180777
clarithromycin,clarithromycin,zydus pharmaceu,2015,155173,154201
clarithromycin,clarithromycin,zydus pharmaceu,2016,79549,79094
clemastine fumarate,clemastine fumarate,sandoz,2013,2060,NA
clemastine fumarate,clemastine fumarate,sandoz,2014,1541,NA
clemastine fumarate,clemastine fumarate,sandoz,2015,355,NA
clemastine fumarate,clemastine fumarate,sandoz,2016,144,NA
clindamycin hcl,clindamycin hcl,actavis pharma/,2013,346720,141650
clindamycin hcl,clindamycin hcl,actavis pharma/,2014,368744,140892
clindamycin hcl,clindamycin hcl,actavis pharma/,2015,422996,411221
clindamycin hcl,clindamycin hcl,actavis pharma/,2016,547625,546930
clindamycin hcl,clindamycin hcl,g & w labs.,2016,NA,254814
clindamycin hcl,clindamycin hcl,mylan instituti,2013,798,NA
clindamycin hcl,clindamycin hcl,mylan instituti,2014,740,NA
clindamycin hcl,clindamycin hcl,mylan instituti,2015,668,NA
clindamycin hcl,clindamycin hcl,mylan instituti,2016,461,NA
clindamycin pediatric,clindamycin palmitate hcl,mylan,2016,NA,392
clindamycin pediatric,clindamycin palmitate hcl,northstar rx ll,2016,NA,361
clindamycin-benzoyl peroxide,clindamycin phos/benzoyl perox,perrigo co.,2016,1772,5342
benzaclin,clindamycin phos/benzoyl perox,valeant,2013,373,259
benzaclin,clindamycin phos/benzoyl perox,valeant,2014,738,419
benzaclin,clindamycin phos/benzoyl perox,valeant,2015,724,498
benzaclin,clindamycin phos/benzoyl perox,valeant,2016,608,461
clindamycin phosphate,clindamycin phosphate,alvogen inc,2016,NA,334
clindamycin phosphate,clindamycin phosphate,fougera/sandoz,2013,55107,55111
clindamycin phosphate,clindamycin phosphate,fougera/sandoz,2014,55527,55529
clindamycin phosphate,clindamycin phosphate,fougera/sandoz,2015,71843,71845
clindamycin phosphate,clindamycin phosphate,fougera/sandoz,2016,75352,75598
clindamycin phosphate,clindamycin phosphate,hospira/alvogen,2013,1572,350
clindamycin phosphate,clindamycin phosphate,hospira/alvogen,2014,1460,400
clindamycin phosphate,clindamycin phosphate,hospira/alvogen,2015,2263,616
clindamycin phosphate,clindamycin phosphate,hospira/alvogen,2016,1358,424
cleocin phosphate,clindamycin phosphate,pharmaci/pfizer,2014,429,432
cleocin phosphate,clindamycin phosphate,pharmaci/pfizer,2015,353,377
cleocin phosphate,clindamycin phosphate,pharmaci/pfizer,2016,332,397
clindamycin phosphate,clindamycin phosphate,qualitest/par p,2015,NA,26
clindamycin phosphate,clindamycin phosphate,qualitest/par p,2016,NA,2523
clindamycin phosphate,clindamycin phosphate,sagent pharmace,2013,294,481
clindamycin phosphate,clindamycin phosphate,sagent pharmace,2014,578,807
clindamycin phosphate,clindamycin phosphate,sagent pharmace,2015,126,123
clindamycin phosphate,clindamycin phosphate,sagent pharmace,2016,297,632
cleocin phosphate in d5w,clindamycin phosphate/d5w,pharmaci/pfizer,2013,252,NA
cleocin phosphate in d5w,clindamycin phosphate/d5w,pharmaci/pfizer,2014,150,NA
cleocin phosphate in d5w,clindamycin phosphate/d5w,pharmaci/pfizer,2015,83,NA
cleocin phosphate in d5w,clindamycin phosphate/d5w,pharmaci/pfizer,2016,52,NA
clindamycin phos-tretinoin,clindamycin/tretinoin,actavis pharma/,2016,NA,62
veltin,clindamycin/tretinoin,stiefel labs./a,2013,118,NA
veltin,clindamycin/tretinoin,stiefel labs./a,2014,111,NA
veltin,clindamycin/tretinoin,stiefel labs./a,2015,89,NA
veltin,clindamycin/tretinoin,stiefel labs./a,2016,53,NA
clobetasol propionate,clobetasol propionate,g & w labs.,2016,NA,7964
clobetasol propionate,clobetasol propionate,hi-tech/akorn c,2013,400543,400070
clobetasol propionate,clobetasol propionate,hi-tech/akorn c,2014,588521,587737
clobetasol propionate,clobetasol propionate,hi-tech/akorn c,2015,664753,662947
clobetasol propionate,clobetasol propionate,hi-tech/akorn c,2016,542844,542565
clomiphene citrate,clomiphene citrate,par pharm.,2013,NA,215
clomiphene citrate,clomiphene citrate,par pharm.,2014,NA,31
clomiphene citrate,clomiphene citrate,par pharm.,2015,NA,30
clomiphene citrate,clomiphene citrate,par pharm.,2016,NA,90
clonazepam,clonazepam,barr,2013,23548,NA
clonazepam,clonazepam,barr,2014,29945,NA
clonazepam,clonazepam,barr,2015,31445,NA
clonazepam,clonazepam,barr,2016,53008,NA
clonazepam,clonazepam,mylan instituti,2013,18897,15882
clonazepam,clonazepam,mylan instituti,2014,18443,15656
clonazepam,clonazepam,mylan instituti,2015,16610,14867
clonazepam,clonazepam,mylan instituti,2016,11933,11325
clonazepam,clonazepam,northstar rx ll,2016,NA,171101
clonazepam,clonazepam,qualitest/par p,2013,958257,957725
clonazepam,clonazepam,qualitest/par p,2014,1215392,1214943
clonazepam,clonazepam,qualitest/par p,2015,1325345,1325094
clonazepam,clonazepam,qualitest/par p,2016,995684,995483
clonazepam,clonazepam,teva usa,2013,3148878,3172426
clonazepam,clonazepam,teva usa,2014,3187739,3217684
clonazepam,clonazepam,teva usa,2015,2958414,2989859
clonazepam,clonazepam,teva usa,2016,2764209,2817217
clonazepam,clonazepam,upsher smith la,2015,53,NA
clonazepam,clonazepam,upsher smith la,2016,116,NA
clonidine,clonidine,mayne pharma in,2016,NA,4058
clonidine hcl,clonidine hcl,ahp,2013,6429,5468
clonidine hcl,clonidine hcl,ahp,2014,6472,5489
clonidine hcl,clonidine hcl,ahp,2015,4502,3739
clonidine hcl,clonidine hcl,ahp,2016,2050,1737
clonidine hcl,clonidine hcl,alembic pharmac,2016,NA,9670
clonidine hcl er,clonidine hcl,concordia pharm,2015,59,NA
clonidine hcl er,clonidine hcl,concordia pharm,2016,58,NA
clonidine hcl,clonidine hcl,mylan instituti,2013,40192,9371
clonidine hcl,clonidine hcl,mylan instituti,2014,27111,7143
clonidine hcl,clonidine hcl,mylan instituti,2015,7098,6484
clonidine hcl,clonidine hcl,mylan instituti,2016,6112,6059
clonidine hcl,clonidine hcl,northstar rx ll,2013,332211,NA
clonidine hcl,clonidine hcl,northstar rx ll,2014,164018,NA
clonidine hcl,clonidine hcl,northstar rx ll,2015,23875,NA
clonidine hcl,clonidine hcl,northstar rx ll,2016,3251,NA
clonidine hcl er,clonidine hcl,prasco labs,2016,NA,578
clonidine hcl,clonidine hcl,qualitest/par p,2013,945789,943807
clonidine hcl,clonidine hcl,qualitest/par p,2014,1538860,1536360
clonidine hcl,clonidine hcl,qualitest/par p,2015,694104,691864
clonidine hcl,clonidine hcl,qualitest/par p,2016,82685,82265
clonidine hcl,clonidine hcl,richmond pharm,2013,417,164
clonidine hcl,clonidine hcl,richmond pharm,2014,307,170
clonidine hcl,clonidine hcl,richmond pharm,2015,299,143
clonidine hcl,clonidine hcl,richmond pharm,2016,178,102
clopidogrel,clopidogrel bisulfate,ahp,2014,2531,2572
clopidogrel,clopidogrel bisulfate,ahp,2015,3255,3284
clopidogrel,clopidogrel bisulfate,ahp,2016,5393,5505
clopidogrel,clopidogrel bisulfate,camber pharmace,2016,NA,384736
clopidogrel,clopidogrel bisulfate,mylan instituti,2013,9992,9861
clopidogrel,clopidogrel bisulfate,mylan instituti,2014,7652,7595
clopidogrel,clopidogrel bisulfate,mylan instituti,2015,6980,6920
clopidogrel,clopidogrel bisulfate,mylan instituti,2016,6533,6470
clopidogrel,clopidogrel bisulfate,vensun pharmace,2015,7779,7826
clopidogrel,clopidogrel bisulfate,vensun pharmace,2016,59140,63019
clopidogrel,clopidogrel bisulfate,wockhardt usa l,2013,135620,NA
clopidogrel,clopidogrel bisulfate,wockhardt usa l,2014,29529,NA
clopidogrel,clopidogrel bisulfate,wockhardt usa l,2015,3924,NA
clopidogrel,clopidogrel bisulfate,wockhardt usa l,2016,192,NA
clorazepate dipotassium,clorazepate dipotassium,ranbaxy pharmac,2013,77945,50261
clorazepate dipotassium,clorazepate dipotassium,ranbaxy pharmac,2014,21670,11959
clorazepate dipotassium,clorazepate dipotassium,ranbaxy pharmac,2015,4153,1939
clorazepate dipotassium,clorazepate dipotassium,ranbaxy pharmac,2016,771,403
tranxene t-tab,clorazepate dipotassium,recordati rare,2014,558,490
tranxene t-tab,clorazepate dipotassium,recordati rare,2015,800,557
tranxene t-tab,clorazepate dipotassium,recordati rare,2016,687,609
clotrimazole,clotrimazole,teva usa,2013,27691,16958
clotrimazole,clotrimazole,teva usa,2014,34734,21702
clotrimazole,clotrimazole,teva usa,2015,49456,29750
clotrimazole,clotrimazole,teva usa,2016,25881,24135
clotrimazole-betamethasone,clotrimazole/betamethasone dip,glenmark pharma,2015,NA,14
clotrimazole-betamethasone,clotrimazole/betamethasone dip,glenmark pharma,2016,NA,117395
versacloz,clozapine,jazz pharmaceut,2014,763,NA
versacloz,clozapine,jazz pharmaceut,2015,1046,NA
versacloz,clozapine,jazz pharmaceut,2016,892,NA
versacloz,clozapine,jazz/trupharma,2014,NA,763
versacloz,clozapine,jazz/trupharma,2015,NA,1046
versacloz,clozapine,jazz/trupharma,2016,NA,892
clozapine odt,clozapine,mylan,2015,NA,12
clozapine odt,clozapine,mylan,2016,NA,4248
clozaril,clozapine,novartis,2013,426,NA
clozaril,clozapine,novartis,2014,249,NA
clozaril,clozapine,novartis,2015,163,NA
clozaril,clozapine,novartis,2016,55,NA
clozapine,clozapine,teva usa,2013,804588,804608
clozapine,clozapine,teva usa,2014,809609,809630
clozapine,clozapine,teva usa,2015,825225,825263
clozapine,clozapine,teva usa,2016,749977,750127
cotellic,cobimetinib fumarate,"genentech, inc.",2015,NA,24
cotellic,cobimetinib fumarate,"genentech, inc.",2016,NA,579
cheratussin ac,codeine phosphate/guaifenesin,qualitest/par p,2013,2009,NA
cheratussin ac,codeine phosphate/guaifenesin,qualitest/par p,2014,63,NA
cheratussin ac,codeine phosphate/guaifenesin,qualitest/par p,2015,98,NA
cheratussin ac,codeine phosphate/guaifenesin,qualitest/par p,2016,69,NA
mitigare,colchicine,"hikma americas,",2016,NA,1328
colestipol hcl,colestipol hcl,greenstone llc.,2016,257912,259215
colestid,colestipol hcl,pharmaci/pfizer,2013,1989,1718
colestid,colestipol hcl,pharmaci/pfizer,2014,1150,988
colestid,colestipol hcl,pharmaci/pfizer,2015,1504,1289
colestid,colestipol hcl,pharmaci/pfizer,2016,897,752
colistimethate,colistin (colistimethate na),sagent pharmace,2015,NA,35
colistimethate,colistin (colistimethate na),sagent pharmace,2016,NA,119
colistimethate,colistin (colistimethate na),x-gen pharmaceu,2016,1374,1475
santyl,collagenase clostridium hist.,smith&n/united,2016,NA,164067
cortisone acetate,cortisone acetate,"west-ward, inc.",2013,6118,NA
cortisone acetate,cortisone acetate,"west-ward, inc.",2014,2841,NA
cortisone acetate,cortisone acetate,"west-ward, inc.",2015,3375,1801
cortisone acetate,cortisone acetate,"west-ward, inc.",2016,3284,3129
mytesi,crofelemer,napo pharmaceut,2016,NA,266
fulyzaq,crofelemer,salix pharmaceu,2013,626,NA
fulyzaq,crofelemer,salix pharmaceu,2014,2008,NA
fulyzaq,crofelemer,salix pharmaceu,2015,2522,NA
fulyzaq,crofelemer,salix pharmaceu,2016,1191,NA
gastrocrom,cromolyn sodium,meda/mylan spec,2015,NA,16
gastrocrom,cromolyn sodium,meda/mylan spec,2016,NA,113
cromolyn sodium,cromolyn sodium,prasco labs,2013,837,NA
cromolyn sodium,cromolyn sodium,prasco labs,2014,1141,NA
cromolyn sodium,cromolyn sodium,prasco labs,2015,877,NA
cromolyn sodium,cromolyn sodium,prasco labs,2016,123,NA
cromolyn sodium,cromolyn sodium,teva usa,2013,20063,139
cromolyn sodium,cromolyn sodium,teva usa,2014,22199,131
cromolyn sodium,cromolyn sodium,teva usa,2015,12481,146
cromolyn sodium,cromolyn sodium,teva usa,2016,2864,298
cromolyn sodium,cromolyn sodium,wallace pharmac,2015,528,66
cromolyn sodium,cromolyn sodium,wallace pharmac,2016,1921,1744
cyanocobalamin injection,cyanocobalamin (vitamin b-12),somerset therap,2016,NA,167
cyanocobalamin injection,cyanocobalamin (vitamin b-12),"west-ward, inc.",2016,NA,2114
cyclobenzaprine hcl,cyclobenzaprine hcl,actavis pharma/,2016,115834,116263
cyclobenzaprine hcl,cyclobenzaprine hcl,ahp,2016,364,423
cyclobenzaprine hcl,cyclobenzaprine hcl,"cipla usa, inc.",2016,NA,64136
cyclobenzaprine hcl,cyclobenzaprine hcl,legacy pharmace,2016,367359,371094
cyclobenzaprine hcl,cyclobenzaprine hcl,mylan instituti,2013,1228,1274
cyclobenzaprine hcl,cyclobenzaprine hcl,mylan instituti,2014,1026,1076
cyclobenzaprine hcl,cyclobenzaprine hcl,mylan instituti,2015,966,1008
cyclobenzaprine hcl,cyclobenzaprine hcl,mylan instituti,2016,848,911
cyclobenzaprine hcl,cyclobenzaprine hcl,"pliva, inc",2013,332223,NA
cyclobenzaprine hcl,cyclobenzaprine hcl,"pliva, inc",2014,305880,NA
cyclobenzaprine hcl,cyclobenzaprine hcl,"pliva, inc",2015,246966,NA
cyclobenzaprine hcl,cyclobenzaprine hcl,"pliva, inc",2016,12016,NA
cyclobenzaprine hcl,cyclobenzaprine hcl,qualitest/par p,2013,1207055,1206811
cyclobenzaprine hcl,cyclobenzaprine hcl,qualitest/par p,2014,1146527,1145971
cyclobenzaprine hcl,cyclobenzaprine hcl,qualitest/par p,2015,1080697,1080333
cyclobenzaprine hcl,cyclobenzaprine hcl,qualitest/par p,2016,974917,974859
cyclopentolate hcl,cyclopentolate hcl,akorn inc.,2016,4481,4761
cyclophosphamide,cyclophosphamide,sandoz,2015,261,308
cyclophosphamide,cyclophosphamide,sandoz,2016,470,860
cyclosporine,cyclosporine,ahp,2016,NA,114
cyclosporine,cyclosporine,perrigo co.,2013,NA,20
cyclosporine,cyclosporine,perrigo co.,2015,NA,32
cyclosporine,cyclosporine,perrigo co.,2016,NA,192
gengraf,"cyclosporine, modified",abbvie us llc,2013,14832,89
gengraf,"cyclosporine, modified",abbvie us llc,2014,12395,124
gengraf,"cyclosporine, modified",abbvie us llc,2015,10867,132
gengraf,"cyclosporine, modified",abbvie us llc,2016,1434,7754
cyclosporine modified,"cyclosporine, modified",actavis pharma/,2013,8846,NA
cyclosporine modified,"cyclosporine, modified",actavis pharma/,2014,9393,NA
cyclosporine modified,"cyclosporine, modified",actavis pharma/,2015,9439,NA
cyclosporine modified,"cyclosporine, modified",actavis pharma/,2016,7061,NA
cyclosporine modified,"cyclosporine, modified",actavis/mayne p,2013,6222,15068
cyclosporine modified,"cyclosporine, modified",actavis/mayne p,2014,5884,15277
cyclosporine modified,"cyclosporine, modified",actavis/mayne p,2015,5070,14509
cyclosporine modified,"cyclosporine, modified",actavis/mayne p,2016,4130,11191
cyclosporine modified,"cyclosporine, modified",mayne pharma in,2016,NA,2410
cyclosporine,"cyclosporine, modified",teva usa,2013,397,NA
cyclosporine,"cyclosporine, modified",teva usa,2014,686,NA
cyclosporine,"cyclosporine, modified",teva usa,2015,755,NA
cyclosporine,"cyclosporine, modified",teva usa,2016,755,NA
cyclosporine modified,"cyclosporine, modified",teva usa,2013,19577,17814
cyclosporine modified,"cyclosporine, modified",teva usa,2014,27716,25687
cyclosporine modified,"cyclosporine, modified",teva usa,2015,29688,27442
cyclosporine modified,"cyclosporine, modified",teva usa,2016,31419,31931
cyproheptadine hcl,cyproheptadine hcl,corepharma llc,2016,19436,20583
cyproheptadine hcl,cyproheptadine hcl,ingenus pharmac,2015,166,176
cyproheptadine hcl,cyproheptadine hcl,ingenus pharmac,2016,13441,15465
cytarabine,cytarabine/pf,hospira/pfizer,2013,23,102
cytarabine,cytarabine/pf,hospira/pfizer,2014,46,104
cytarabine,cytarabine/pf,hospira/pfizer,2015,84,117
cytarabine,cytarabine/pf,hospira/pfizer,2016,63,116
pradaxa,dabigatran etexilate mesylate,boehringer ing.,2016,1298824,1303478
tafinlar,dabrafenib mesylate,glaxosmithkline,2013,475,NA
tafinlar,dabrafenib mesylate,glaxosmithkline,2014,3410,NA
