brand_name,generic_name,manufacturer,year,total_claims_16,total_claims_17
cefoxitin,cefoxitin sodium,wg critical car,2016,NA,261
cefprozil,cefprozil,dava pharmaceut,2015,NA,37
cefprozil,cefprozil,dava pharmaceut,2016,NA,196
cefprozil,cefprozil,"orchidpharma, i",2016,NA,64
ceftriaxone,ceftriaxone sodium,hospira,2013,85217,NA
ceftriaxone,ceftriaxone sodium,hospira,2014,93867,NA
ceftriaxone,ceftriaxone sodium,hospira,2015,89364,NA
ceftriaxone,ceftriaxone sodium,hospira,2016,95756,NA
ceftriaxone,ceftriaxone sodium,hospira/novaplu,2013,113,NA
ceftriaxone,ceftriaxone sodium,hospira/novaplu,2014,180,NA
ceftriaxone,ceftriaxone sodium,hospira/novaplu,2015,83,NA
ceftriaxone,ceftriaxone sodium,hospira/novaplu,2016,61,NA
ceftriaxone,ceftriaxone sodium,hospira/pfizer,2013,NA,85217
ceftriaxone,ceftriaxone sodium,hospira/pfizer,2014,NA,93867
ceftriaxone,ceftriaxone sodium,hospira/pfizer,2015,NA,89364
ceftriaxone,ceftriaxone sodium,hospira/pfizer,2016,NA,95756
cefuroxime,cefuroxime axetil,acetris health,2014,NA,21
cefuroxime,cefuroxime axetil,acetris health,2015,NA,176
cefuroxime,cefuroxime axetil,acetris health,2016,NA,142
cefuroxime,cefuroxime axetil,aurobindo pharm,2013,20849,NA
cefuroxime,cefuroxime axetil,"gsms, inc.",2016,NA,104
cefuroxime,cefuroxime axetil,lucid pharma ll,2014,137,NA
cefuroxime,cefuroxime axetil,lucid pharma ll,2015,2116,NA
cefuroxime,cefuroxime axetil,lucid pharma ll,2016,1281,NA
celecoxib,celecoxib,actavis pharma/,2015,NA,46645
celecoxib,celecoxib,actavis pharma/,2016,NA,321946
celecoxib,celecoxib,alembic pharmac,2016,NA,39481
celecoxib,celecoxib,aurobindo pharm,2016,NA,41380
celecoxib,celecoxib,"cipla usa, inc.",2016,NA,182747
celecoxib,celecoxib,lupin pharmaceu,2014,7796,NA
celestone,betameth acet/betamet sod phos,merck sharp & d,2013,192,NA
celestone,betameth acet/betamet sod phos,merck sharp & d,2014,312,NA
celestone,betameth acet/betamet sod phos,merck sharp & d,2015,130,NA
celestone,betameth acet/betamet sod phos,merck sharp & d,2016,74,NA
centany,mupirocin,medimetriks pha,2013,550,NA
centany,mupirocin,medimetriks pha,2014,244,NA
centany,mupirocin,medimetriks pha,2015,88,NA
centany,mupirocin,medimetriks pha,2016,84,NA
centratex,"iron fum/folic acid/mv,min 15",centurion labs,2013,NA,159
centratex,"iron fum/folic acid/mv,min 15",centurion labs,2015,NA,15
centratex,"iron fum/folic acid/mv,min 15",centurion labs,2016,NA,60
cephalexin,cephalexin,ahp,2015,NA,19
cephalexin,cephalexin,ahp,2016,NA,2210
cephalexin,cephalexin,bi-coastal phar,2016,NA,105
cephalexin,cephalexin,"karalex pharma,",2013,169003,NA
cephalexin,cephalexin,"karalex pharma,",2014,16942,NA
cephalexin,cephalexin,"karalex pharma,",2015,14292,NA
cephalexin,cephalexin,"karalex pharma,",2016,199511,NA
cephalexin,cephalexin,"orchidpharma, i",2013,NA,169091
cephalexin,cephalexin,"orchidpharma, i",2014,NA,16947
cephalexin,cephalexin,"orchidpharma, i",2015,NA,14322
cephalexin,cephalexin,"orchidpharma, i",2016,NA,199631
cetirizine hcl,cetirizine hcl,qualitest,2013,2046,NA
cetirizine hcl,cetirizine hcl,qualitest,2014,639,NA
cetirizine hcl,cetirizine hcl,qualitest,2015,501,NA
cetirizine hcl,cetirizine hcl,qualitest,2016,266,NA
cetirizine hcl,cetirizine hcl,silarx pharm,2014,116,NA
cetirizine hcl,cetirizine hcl,silarx pharm,2015,555,NA
cetirizine hcl,cetirizine hcl,silarx pharm,2016,1746,NA
cetirizine hcl,cetirizine hcl,silarx/lannett,2014,NA,116
cetirizine hcl,cetirizine hcl,silarx/lannett,2015,NA,555
cetirizine hcl,cetirizine hcl,silarx/lannett,2016,NA,1746
chenodal,chenodiol,"retrophin, inc.",2016,NA,309
cheratussin ac,codeine phosphate/guaifenesin,qualitest,2013,2009,NA
cheratussin ac,codeine phosphate/guaifenesin,qualitest,2014,63,NA
cheratussin ac,codeine phosphate/guaifenesin,qualitest,2015,98,NA
cheratussin ac,codeine phosphate/guaifenesin,qualitest,2016,69,NA
chlordiazepoxide-clidinium,chlordiazepoxide/clidinium br,oceanside pharm,2016,NA,7883
chlordiazepoxide hcl,chlordiazepoxide hcl,barr,2013,90171,NA
chlordiazepoxide hcl,chlordiazepoxide hcl,barr,2014,83196,NA
chlordiazepoxide hcl,chlordiazepoxide hcl,barr,2015,78349,NA
chlordiazepoxide hcl,chlordiazepoxide hcl,barr,2016,83369,NA
chlordiazepoxide hcl,chlordiazepoxide hcl,teva usa,2013,NA,90171
chlordiazepoxide hcl,chlordiazepoxide hcl,teva usa,2014,NA,83196
chlordiazepoxide hcl,chlordiazepoxide hcl,teva usa,2015,NA,78349
chlordiazepoxide hcl,chlordiazepoxide hcl,teva usa,2016,NA,83369
chlorothiazide,chlorothiazide,"west-ward, inc.",2013,1276,NA
chlorothiazide,chlorothiazide,"west-ward, inc.",2014,676,NA
chlorothiazide,chlorothiazide,"west-ward, inc.",2015,268,NA
chlorothiazide,chlorothiazide,"west-ward, inc.",2016,74,NA
chlorpromazine hcl,chlorpromazine hcl,upsher smith,2013,178186,NA
chlorpromazine hcl,chlorpromazine hcl,upsher smith,2014,192151,NA
chlorpromazine hcl,chlorpromazine hcl,upsher smith,2015,186438,NA
chlorpromazine hcl,chlorpromazine hcl,upsher smith,2016,196262,NA
chlorpromazine hcl,chlorpromazine hcl,upsher smith la,2013,NA,178186
chlorpromazine hcl,chlorpromazine hcl,upsher smith la,2014,NA,192151
chlorpromazine hcl,chlorpromazine hcl,upsher smith la,2015,NA,186438
chlorpromazine hcl,chlorpromazine hcl,upsher smith la,2016,NA,196262
chlorthalidone,chlorthalidone,sun pharmaceuti,2016,NA,115336
chlorzoxazone,chlorzoxazone,actavis pharma,2013,99549,NA
chlorzoxazone,chlorzoxazone,actavis pharma,2014,84291,NA
chlorzoxazone,chlorzoxazone,actavis pharma,2015,67878,NA
chlorzoxazone,chlorzoxazone,actavis pharma,2016,53205,NA
chlorzoxazone,chlorzoxazone,actavis pharma/,2013,NA,99549
chlorzoxazone,chlorzoxazone,actavis pharma/,2014,NA,84291
chlorzoxazone,chlorzoxazone,actavis pharma/,2015,NA,67878
chlorzoxazone,chlorzoxazone,actavis pharma/,2016,NA,53205
cholestyramine,cholestyramine (with sugar),upsher-smith la,2013,NA,19728
cholestyramine,cholestyramine (with sugar),upsher-smith la,2014,NA,24567
cholestyramine,cholestyramine (with sugar),upsher-smith la,2015,NA,25111
cholestyramine,cholestyramine (with sugar),upsher-smith la,2016,NA,28783
cholestyramine,cholestyramine (with sugar),upsher smith,2013,19728,NA
cholestyramine,cholestyramine (with sugar),upsher smith,2014,24567,NA
cholestyramine,cholestyramine (with sugar),upsher smith,2015,25111,NA
cholestyramine,cholestyramine (with sugar),upsher smith,2016,28783,NA
ciclodan,ciclopirox olamine,medimetriks pha,2013,129,NA
ciclodan,ciclopirox olamine,medimetriks pha,2014,98,NA
ciclodan,ciclopirox olamine,medimetriks pha,2015,87,NA
ciclodan,ciclopirox olamine,medimetriks pha,2016,67,NA
ciclopirox,ciclopirox,actavis pharma,2013,8129,NA
ciclopirox,ciclopirox,actavis pharma,2014,11497,NA
ciclopirox,ciclopirox,actavis pharma,2015,12325,NA
ciclopirox,ciclopirox,actavis pharma,2016,24978,NA
ciclopirox,ciclopirox,actavis pharma/,2013,NA,8129
ciclopirox,ciclopirox,actavis pharma/,2014,NA,11497
ciclopirox,ciclopirox,actavis pharma/,2015,NA,12325
ciclopirox,ciclopirox,actavis pharma/,2016,NA,24978
cilostazol,cilostazol,corepharma llc,2013,11780,NA
cilostazol,cilostazol,corepharma llc,2014,6147,NA
cilostazol,cilostazol,corepharma llc,2015,3838,NA
cilostazol,cilostazol,corepharma llc,2016,859,NA
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,claris/baxter,2013,NA,25
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,claris/baxter,2014,NA,87
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,claris/baxter,2015,NA,228
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,claris/baxter,2016,NA,656
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,hospira-novaplu,2013,NA,162
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,hospira-novaplu,2014,NA,226
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,hospira-novaplu,2015,NA,241
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,hospira-novaplu,2016,NA,201
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,hospira/pfizer,2013,NA,2895
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,hospira/pfizer,2014,NA,2503
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,hospira/pfizer,2015,NA,2112
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,hospira/pfizer,2016,NA,1727
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,sagent pharmace,2013,NA,296
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,sagent pharmace,2014,NA,160
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,sagent pharmace,2015,NA,119
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,sagent pharmace,2016,NA,153
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,sandoz,2013,NA,1320
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,sandoz,2014,NA,1504
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,sandoz,2015,NA,1226
ciprofloxacin-d5w,ciprofloxacin in 5 % dextrose,sandoz,2016,NA,934
ciprofloxacin-d5w,ciprofloxacin lactate/d5w,claris lifescie,2013,25,NA
ciprofloxacin-d5w,ciprofloxacin lactate/d5w,claris lifescie,2014,84,NA
ciprofloxacin-d5w,ciprofloxacin lactate/d5w,claris lifescie,2015,221,NA
ciprofloxacin-d5w,ciprofloxacin lactate/d5w,claris lifescie,2016,602,NA
ciprofloxacin-d5w,ciprofloxacin lactate/d5w,hospira,2013,2895,NA
ciprofloxacin-d5w,ciprofloxacin lactate/d5w,hospira,2014,2503,NA
ciprofloxacin-d5w,ciprofloxacin lactate/d5w,hospira,2015,2112,NA
ciprofloxacin-d5w,ciprofloxacin lactate/d5w,hospira,2016,1727,NA
ciprofloxacin-d5w,ciprofloxacin lactate/d5w,hospira/novaplu,2013,162,NA
ciprofloxacin-d5w,ciprofloxacin lactate/d5w,hospira/novaplu,2014,226,NA
ciprofloxacin-d5w,ciprofloxacin lactate/d5w,hospira/novaplu,2015,241,NA
ciprofloxacin-d5w,ciprofloxacin lactate/d5w,hospira/novaplu,2016,201,NA
ciprofloxacin-d5w,ciprofloxacin lactate/d5w,sagent pharmace,2013,296,NA
ciprofloxacin-d5w,ciprofloxacin lactate/d5w,sagent pharmace,2014,160,NA
ciprofloxacin-d5w,ciprofloxacin lactate/d5w,sagent pharmace,2015,119,NA
ciprofloxacin-d5w,ciprofloxacin lactate/d5w,sagent pharmace,2016,153,NA
ciprofloxacin-d5w,ciprofloxacin lactate/d5w,sandoz,2013,1722,NA
ciprofloxacin-d5w,ciprofloxacin lactate/d5w,sandoz,2014,1847,NA
ciprofloxacin-d5w,ciprofloxacin lactate/d5w,sandoz,2015,1481,NA
ciprofloxacin-d5w,ciprofloxacin lactate/d5w,sandoz,2016,1174,NA
ciprofloxacin hcl,ciprofloxacin hcl,actavis pharma,2013,1915391,NA
ciprofloxacin hcl,ciprofloxacin hcl,actavis pharma,2014,1926916,NA
ciprofloxacin hcl,ciprofloxacin hcl,actavis pharma,2015,1723745,NA
ciprofloxacin hcl,ciprofloxacin hcl,actavis pharma,2016,752708,NA
ciprofloxacin hcl,ciprofloxacin hcl,actavis pharma/,2013,NA,1915391
ciprofloxacin hcl,ciprofloxacin hcl,actavis pharma/,2014,NA,1926916
ciprofloxacin hcl,ciprofloxacin hcl,actavis pharma/,2015,NA,1723745
ciprofloxacin hcl,ciprofloxacin hcl,actavis pharma/,2016,NA,752708
ciprofloxacin hcl,ciprofloxacin hcl,bausch & lomb p,2013,46,NA
ciprofloxacin hcl,ciprofloxacin hcl,bausch & lomb p,2014,84,NA
ciprofloxacin hcl,ciprofloxacin hcl,bausch & lomb p,2015,60,NA
ciprofloxacin hcl,ciprofloxacin hcl,bausch & lomb p,2016,52,NA
ciprofloxacin hcl,ciprofloxacin hcl,blu pharmaceuti,2013,3102,NA
ciprofloxacin hcl,ciprofloxacin hcl,blu pharmaceuti,2014,17228,NA
ciprofloxacin hcl,ciprofloxacin hcl,blu pharmaceuti,2015,63701,NA
ciprofloxacin hcl,ciprofloxacin hcl,blu pharmaceuti,2016,57663,NA
ciprofloxacin hcl,ciprofloxacin hcl,major pharmaceu,2014,129,NA
ciprofloxacin hcl,ciprofloxacin hcl,major pharmaceu,2015,826,NA
ciprofloxacin hcl,ciprofloxacin hcl,major pharmaceu,2016,92,NA
ciprofloxacin hcl,ciprofloxacin hcl,puracap laborat,2013,NA,3092
ciprofloxacin hcl,ciprofloxacin hcl,puracap laborat,2014,NA,17189
ciprofloxacin hcl,ciprofloxacin hcl,puracap laborat,2015,NA,63610
ciprofloxacin hcl,ciprofloxacin hcl,puracap laborat,2016,NA,57590
citalopram hbr,citalopram hydrobromide,blu pharmaceuti,2013,31198,NA
citalopram hbr,citalopram hydrobromide,blu pharmaceuti,2014,45022,NA
citalopram hbr,citalopram hydrobromide,blu pharmaceuti,2015,24270,NA
citalopram hbr,citalopram hydrobromide,blu pharmaceuti,2016,3970,NA
citalopram hbr,citalopram hydrobromide,"cipla usa, inc.",2016,NA,193438
citalopram hbr,citalopram hydrobromide,g & w labs.,2016,NA,223428
citalopram hbr,citalopram hydrobromide,"gsms, inc.",2013,NA,26
citalopram hbr,citalopram hydrobromide,"gsms, inc.",2016,NA,159
citalopram hbr,citalopram hydrobromide,jubilant cadist,2016,NA,798
citalopram hbr,citalopram hydrobromide,puracap laborat,2013,NA,26218
citalopram hbr,citalopram hydrobromide,puracap laborat,2014,NA,39913
citalopram hbr,citalopram hydrobromide,puracap laborat,2015,NA,21075
citalopram hbr,citalopram hydrobromide,puracap laborat,2016,NA,3323
citalopram hbr,citalopram hydrobromide,silarx pharm,2013,4666,NA
citalopram hbr,citalopram hydrobromide,silarx pharm,2014,3580,NA
citalopram hbr,citalopram hydrobromide,silarx pharm,2015,5385,NA
citalopram hbr,citalopram hydrobromide,silarx pharm,2016,6165,NA
citalopram hbr,citalopram hydrobromide,silarx/lannett,2013,NA,4666
citalopram hbr,citalopram hydrobromide,silarx/lannett,2014,NA,3580
citalopram hbr,citalopram hydrobromide,silarx/lannett,2015,NA,5385
citalopram hbr,citalopram hydrobromide,silarx/lannett,2016,NA,6165
citalopram hbr,citalopram hydrobromide,teva usa,2013,467324,NA
citalopram hbr,citalopram hydrobromide,teva usa,2014,266114,NA
citalopram hbr,citalopram hydrobromide,teva usa,2015,11655,NA
citalopram hbr,citalopram hydrobromide,teva usa,2016,790,NA
claravis,isotretinoin,barr,2013,3401,NA
claravis,isotretinoin,barr,2014,2188,NA
claravis,isotretinoin,barr,2015,2719,NA
claravis,isotretinoin,barr,2016,3809,NA
claravis,isotretinoin,teva usa,2013,NA,3401
claravis,isotretinoin,teva usa,2014,NA,2188
claravis,isotretinoin,teva usa,2015,NA,2719
claravis,isotretinoin,teva usa,2016,NA,3809
clarithromycin,clarithromycin,ahp,2014,73,NA
clarithromycin,clarithromycin,ahp,2015,55,NA
clarithromycin,clarithromycin,ahp,2016,104,NA
clarithromycin,clarithromycin,lannett co. inc,2016,NA,52481
clarithromycin,clarithromycin,teva usa,2013,106847,NA
clarithromycin,clarithromycin,teva usa,2014,78664,NA
clarithromycin,clarithromycin,teva usa,2015,56818,NA
clarithromycin,clarithromycin,teva usa,2016,3849,NA
clarithromycin,clarithromycin,wockhardt usa l,2013,39452,NA
clarithromycin,clarithromycin,wockhardt usa l,2014,9415,NA
clarithromycin,clarithromycin,wockhardt usa l,2015,977,NA
clarithromycin,clarithromycin,wockhardt usa l,2016,63,NA
clarithromycin er,clarithromycin,actavis pharma,2014,12232,NA
clarithromycin er,clarithromycin,actavis pharma,2015,23574,NA
clarithromycin er,clarithromycin,actavis pharma,2016,19389,NA
clarithromycin er,clarithromycin,actavis pharma/,2014,NA,12232
clarithromycin er,clarithromycin,actavis pharma/,2015,NA,23574
clarithromycin er,clarithromycin,actavis pharma/,2016,NA,19389
clarithromycin er,clarithromycin,mayne pharma in,2016,NA,1221
clarithromycin er,clarithromycin,teva usa,2013,16085,NA
clarithromycin er,clarithromycin,teva usa,2014,12370,NA
clarithromycin er,clarithromycin,teva usa,2015,12920,NA
clarithromycin er,clarithromycin,teva usa,2016,9868,NA
clarithromycin er,clarithromycin,teva/mayne phar,2013,NA,16085
clarithromycin er,clarithromycin,teva/mayne phar,2014,NA,12370
clarithromycin er,clarithromycin,teva/mayne phar,2015,NA,12920
clarithromycin er,clarithromycin,teva/mayne phar,2016,NA,9868
clemastine fumarate,clemastine fumarate,sandoz,2013,2060,NA
clemastine fumarate,clemastine fumarate,sandoz,2014,1541,NA
clemastine fumarate,clemastine fumarate,sandoz,2015,355,NA
clemastine fumarate,clemastine fumarate,sandoz,2016,144,NA
cleocin,clindamycin phosphate,pharmaci/pfizer,2013,NA,3486
cleocin,clindamycin phosphate,pharmaci/pfizer,2014,NA,3003
cleocin,clindamycin phosphate,pharmaci/pfizer,2015,NA,1884
cleocin,clindamycin phosphate,pharmaci/pfizer,2016,NA,1500
cleocin,clindamycin phosphate,pharmacia/upjhn,2013,3486,NA
cleocin,clindamycin phosphate,pharmacia/upjhn,2014,3003,NA
cleocin,clindamycin phosphate,pharmacia/upjhn,2015,1884,NA
cleocin,clindamycin phosphate,pharmacia/upjhn,2016,1500,NA
cleocin hcl,clindamycin hcl,pharmaci/pfizer,2013,NA,151
cleocin hcl,clindamycin hcl,pharmaci/pfizer,2014,NA,179
cleocin hcl,clindamycin hcl,pharmaci/pfizer,2015,NA,144
cleocin hcl,clindamycin hcl,pharmaci/pfizer,2016,NA,151
cleocin hcl,clindamycin hcl,pharmacia/upjhn,2013,151,NA
cleocin hcl,clindamycin hcl,pharmacia/upjhn,2014,179,NA
cleocin hcl,clindamycin hcl,pharmacia/upjhn,2015,144,NA
cleocin hcl,clindamycin hcl,pharmacia/upjhn,2016,151,NA
cleocin phosphate,clindamycin phosphate,pharmaci/pfizer,2013,NA,451
cleocin phosphate,clindamycin phosphate,pharmaci/pfizer,2014,NA,432
cleocin phosphate,clindamycin phosphate,pharmaci/pfizer,2015,NA,377
cleocin phosphate,clindamycin phosphate,pharmaci/pfizer,2016,NA,397
cleocin phosphate,clindamycin phosphate,pharmacia/upjhn,2013,451,NA
cleocin phosphate,clindamycin phosphate,pharmacia/upjhn,2014,429,NA
cleocin phosphate,clindamycin phosphate,pharmacia/upjhn,2015,353,NA
cleocin phosphate,clindamycin phosphate,pharmacia/upjhn,2016,332,NA
cleocin phosphate in d5w,clindamycin phosphate/d5w,pharmacia/upjhn,2013,252,NA
cleocin phosphate in d5w,clindamycin phosphate/d5w,pharmacia/upjhn,2014,150,NA
cleocin phosphate in d5w,clindamycin phosphate/d5w,pharmacia/upjhn,2015,83,NA
cleocin phosphate in d5w,clindamycin phosphate/d5w,pharmacia/upjhn,2016,52,NA
cleocin t,clindamycin phosphate,pharmaci/pfizer,2013,NA,99
cleocin t,clindamycin phosphate,pharmaci/pfizer,2014,NA,73
cleocin t,clindamycin phosphate,pharmaci/pfizer,2015,NA,68
cleocin t,clindamycin phosphate,pharmaci/pfizer,2016,NA,57
cleocin t,clindamycin phosphate,pharmacia/upjhn,2013,99,NA
cleocin t,clindamycin phosphate,pharmacia/upjhn,2014,73,NA
cleocin t,clindamycin phosphate,pharmacia/upjhn,2015,68,NA
cleocin t,clindamycin phosphate,pharmacia/upjhn,2016,57,NA
clindamycin hcl,clindamycin hcl,actavis pharma,2013,346720,NA
clindamycin hcl,clindamycin hcl,actavis pharma,2014,368744,NA
clindamycin hcl,clindamycin hcl,actavis pharma,2015,422996,NA
clindamycin hcl,clindamycin hcl,actavis pharma,2016,547625,NA
clindamycin hcl,clindamycin hcl,actavis pharma/,2013,NA,141650
clindamycin hcl,clindamycin hcl,actavis pharma/,2014,NA,140892
clindamycin hcl,clindamycin hcl,actavis pharma/,2015,NA,411221
clindamycin hcl,clindamycin hcl,actavis pharma/,2016,NA,546930
clindamycin hcl,clindamycin hcl,g & w labs.,2016,NA,254814
clindamycin hcl,clindamycin hcl,mylan instituti,2013,798,NA
clindamycin hcl,clindamycin hcl,mylan instituti,2014,740,NA
clindamycin hcl,clindamycin hcl,mylan instituti,2015,668,NA
clindamycin hcl,clindamycin hcl,mylan instituti,2016,461,NA
clindamycin pediatric,clindamycin palmitate hcl,mylan,2016,NA,392
clindamycin pediatric,clindamycin palmitate hcl,northstar rx ll,2016,NA,361
clindamycin phos-tretinoin,clindamycin/tretinoin,actavis pharma/,2016,NA,62
clindamycin phosphate,clindamycin phosphate,actavis pharma,2015,6788,NA
clindamycin phosphate,clindamycin phosphate,actavis pharma,2016,20867,NA
clindamycin phosphate,clindamycin phosphate,actavis pharma/,2015,NA,6788
clindamycin phosphate,clindamycin phosphate,actavis pharma/,2016,NA,20867
clindamycin phosphate,clindamycin phosphate,alvogen inc,2016,NA,334
clindamycin phosphate,clindamycin phosphate,qualitest/par p,2015,NA,26
clindamycin phosphate,clindamycin phosphate,qualitest/par p,2016,NA,2523
clinimix e,aa 5 %/calcium/lytes/dext 15 %,baxter healthca,2013,115,NA
clinimix e,aa 5 %/calcium/lytes/dext 15 %,baxter healthca,2014,230,NA
clinimix e,aa 5 %/calcium/lytes/dext 15 %,baxter healthca,2015,260,NA
clinimix e,aa 5 %/calcium/lytes/dext 15 %,baxter healthca,2016,375,NA
clinimix e,aa 5%/d15w/electrolytes,baxter healthca,2013,NA,115
clinimix e,aa 5%/d15w/electrolytes,baxter healthca,2014,NA,230
clinimix e,aa 5%/d15w/electrolytes,baxter healthca,2015,NA,260
clinimix e,aa 5%/d15w/electrolytes,baxter healthca,2016,NA,375
clinpro 5000,fluoride (sodium),3m espe dental,2013,NA,1147
clinpro 5000,fluoride (sodium),3m espe dental,2014,NA,1242
clinpro 5000,fluoride (sodium),3m espe dental,2015,NA,1469
clinpro 5000,fluoride (sodium),3m espe dental,2016,NA,2043
clinpro 5000,sodium fluoride,3m espe dental,2013,1147,NA
clinpro 5000,sodium fluoride,3m espe dental,2014,1242,NA
clinpro 5000,sodium fluoride,3m espe dental,2015,1469,NA
clinpro 5000,sodium fluoride,3m espe dental,2016,2043,NA
clobetasol propionate,clobetasol propionate,actavis pharma,2013,20857,NA
clobetasol propionate,clobetasol propionate,actavis pharma,2014,23364,NA
clobetasol propionate,clobetasol propionate,actavis pharma,2015,88882,NA
clobetasol propionate,clobetasol propionate,actavis pharma,2016,242047,NA
clobetasol propionate,clobetasol propionate,actavis pharma/,2013,NA,20857
clobetasol propionate,clobetasol propionate,actavis pharma/,2014,NA,23364
clobetasol propionate,clobetasol propionate,actavis pharma/,2015,NA,88882
clobetasol propionate,clobetasol propionate,actavis pharma/,2016,NA,242047
clobetasol propionate,clobetasol propionate,g & w labs.,2016,NA,7964
clomiphene citrate,clomiphene citrate,par pharm.,2013,NA,215
clomiphene citrate,clomiphene citrate,par pharm.,2014,NA,31
clomiphene citrate,clomiphene citrate,par pharm.,2015,NA,30
clomiphene citrate,clomiphene citrate,par pharm.,2016,NA,90
clonazepam,clonazepam,actavis pharma,2013,1879404,NA
clonazepam,clonazepam,actavis pharma,2014,2242236,NA
clonazepam,clonazepam,actavis pharma,2015,2191123,NA
clonazepam,clonazepam,actavis pharma,2016,1037988,NA
clonazepam,clonazepam,actavis pharma/,2013,NA,1879404
clonazepam,clonazepam,actavis pharma/,2014,NA,2242236
clonazepam,clonazepam,actavis pharma/,2015,NA,2191123
clonazepam,clonazepam,actavis pharma/,2016,NA,1037988
clonazepam,clonazepam,barr,2013,23548,NA
clonazepam,clonazepam,barr,2014,29945,NA
clonazepam,clonazepam,barr,2015,31445,NA
clonazepam,clonazepam,barr,2016,53008,NA
clonazepam,clonazepam,northstar rx ll,2016,NA,171101
clonazepam,clonazepam,qualitest,2013,958257,NA
clonazepam,clonazepam,qualitest,2014,1215392,NA
clonazepam,clonazepam,qualitest,2015,1325345,NA
clonazepam,clonazepam,qualitest,2016,995684,NA
clonazepam,clonazepam,qualitest/par p,2013,NA,957725
clonazepam,clonazepam,qualitest/par p,2014,NA,1214943
clonazepam,clonazepam,qualitest/par p,2015,NA,1325094
clonazepam,clonazepam,qualitest/par p,2016,NA,995483
clonazepam,clonazepam,upsher smith,2015,53,NA
clonazepam,clonazepam,upsher smith,2016,116,NA
clonidine,clonidine,actavis pharma,2014,33037,NA
clonidine,clonidine,actavis pharma,2015,158178,NA
clonidine,clonidine,actavis pharma,2016,166708,NA
clonidine,clonidine,actavis pharma/,2014,NA,33037
clonidine,clonidine,actavis pharma/,2015,NA,158178
clonidine,clonidine,actavis pharma/,2016,NA,166708
clonidine,clonidine,mayne pharma in,2016,NA,4058
clonidine hcl,clonidine hcl,actavis pharma,2013,1310990,NA
clonidine hcl,clonidine hcl,actavis pharma,2014,973670,NA
clonidine hcl,clonidine hcl,actavis pharma,2015,1316010,NA
clonidine hcl,clonidine hcl,actavis pharma,2016,1448697,NA
clonidine hcl,clonidine hcl,actavis pharma/,2013,NA,1310990
clonidine hcl,clonidine hcl,actavis pharma/,2014,NA,973670
clonidine hcl,clonidine hcl,actavis pharma/,2015,NA,1316010
clonidine hcl,clonidine hcl,actavis pharma/,2016,NA,1448697
clonidine hcl,clonidine hcl,alembic pharmac,2016,NA,9670
clonidine hcl,clonidine hcl,northstar rx ll,2013,332211,NA
clonidine hcl,clonidine hcl,northstar rx ll,2014,164018,NA
clonidine hcl,clonidine hcl,northstar rx ll,2015,23875,NA
clonidine hcl,clonidine hcl,northstar rx ll,2016,3251,NA
clonidine hcl,clonidine hcl,qualitest,2013,945789,NA
clonidine hcl,clonidine hcl,qualitest,2014,1538860,NA
clonidine hcl,clonidine hcl,qualitest,2015,694104,NA
clonidine hcl,clonidine hcl,qualitest,2016,82685,NA
clonidine hcl,clonidine hcl,qualitest/par p,2013,NA,943807
clonidine hcl,clonidine hcl,qualitest/par p,2014,NA,1536360
clonidine hcl,clonidine hcl,qualitest/par p,2015,NA,691864
clonidine hcl,clonidine hcl,qualitest/par p,2016,NA,82265
clonidine hcl er,clonidine hcl,actavis pharma,2015,828,NA
clonidine hcl er,clonidine hcl,actavis pharma,2016,3239,NA
clonidine hcl er,clonidine hcl,actavis pharma/,2015,NA,828
clonidine hcl er,clonidine hcl,actavis pharma/,2016,NA,3239
clonidine hcl er,clonidine hcl,concordia pharm,2015,59,NA
clonidine hcl er,clonidine hcl,concordia pharm,2016,58,NA
clonidine hcl er,clonidine hcl,prasco labs,2016,NA,578
clopidogrel,clopidogrel bisulfate,camber pharmace,2016,NA,384736
clopidogrel,clopidogrel bisulfate,wockhardt usa l,2013,135620,NA
clopidogrel,clopidogrel bisulfate,wockhardt usa l,2014,29529,NA
clopidogrel,clopidogrel bisulfate,wockhardt usa l,2015,3924,NA
clopidogrel,clopidogrel bisulfate,wockhardt usa l,2016,192,NA
clotrimazole-betamethasone,clotrimazole/betamethasone dip,actavis pharma,2013,434708,NA
